;mean;se;bias;cp;;;;;;;;;;mean;sd;bias;cp
279;2,651339133;1,572657254;-0,116220289;1;;;;;;;;;;;;;
280;4,103203364;2,135982281;0,367734455;1;;;;;;;;;;;;;
281;3,030307087;2,145583495;0,010102362;1;;;;;;;;;;;;;
282;7,246501936;4,616567617;1,415500645;1;;;;;;;;;;;;;
283;1,849944523;1,417281015;-0,383351826;1;;;;;;;;;;;;;
284;2,240102147;1,84085144;-0,253299284;1;;;;;;;;;;;;;
285;4,014222754;2,454133037;0,338074251;1;;;;;;;;;;;;;
286;5,323271794;2,826933275;0,774423931;1;;;;;;;;;;;;;
287;1,618511552;1,259829573;-0,460496149;1;;;;;;;;;;;;;
288;17,42756681;8,657801597;4,809188938;1;;;;;;;;;;;;;
289;3,43520909;2,076197194;0,145069697;1;;;;;;;;;;;;;
290;1,593439284;1,432417175;-0,468853572;1;;;;;;;;;;;;;
291;4,243112652;2,258160174;0,414370884;1;;;;;;;;;;;;;
292;1,959063482;1,491287767;-0,346978839;1;;;;;;;;;;;;;
293;1,886754436;1,453986183;-0,371081855;1;;;;;;;;;;;;;
294;1,650328581;1,213457796;-0,449890473;1;;;;;;;;;;;;;
295;2,639002198;1,850280444;-0,120332601;1;;;;;;;;;;;;;
296;2,716370442;1,648542276;-0,094543186;1;;;;;;;;;;;;;
297;6,012686859;3,342663608;1,004228953;1;;;;;;;;;;;;;
298;4,56440102;2,448263696;0,521467007;1;;;;;;;;;;;;;
299;4,037179058;2,690690273;0,345726353;1;;;;;;;;;;;;;
300;3,259803431;1,823993476;0,086601144;1;;;;;;;;;;;;;
301;4,088953518;2,237822274;0,362984506;1;;;;;;;;;;;;;
302;2,752425682;1,928885227;-0,082524773;1;;;;;;;;;;;;;
303;2,842179755;1,751320067;-0,052606748;1;;;;;;;;;;;;;
304;1,412433282;1,494445085;-0,529188906;1;;;;;;;;;;;;;
305;2,349812529;1,527359861;-0,216729157;1;;;;;;;;;;;;;
306;2,9940939;1,798621861;-0,0019687;1;;;;;;;;;;;;;
307;4,20847352;2,691706533;0,402824507;1;;;;;;;;;;;;;
308;2,632662868;1,568978165;-0,122445711;1;;;;;;;;;;;;;
