;mean;se;bias;cp;;;;;;;;;;mean;sd;bias;cp
156;0,505089242;0,182210461;0,010178485;1;;;;;;;;;;;;;
157;0,354951786;0,116113639;-0,290096428;1;;;;;;;;;;;;;
158;0,395369758;0,139575605;-0,209260483;1;;;;;;;;;;;;;
159;0,635033633;0,189396243;0,270067267;1;;;;;;;;;;;;;
160;0,408409988;0,134451419;-0,183180024;1;;;;;;;;;;;;;
161;0,525668709;0,150496933;0,051337419;1;;;;;;;;;;;;;
162;0,564008194;0,184466928;0,128016389;1;;;;;;;;;;;;;
163;0,524200019;0,151882033;0,048400039;1;;;;;;;;;;;;;
164;0,439055274;0,179452693;-0,121889452;1;;;;;;;;;;;;;
165;0,831842391;0,284770907;0,663684782;1;;;;;;;;;;;;;
166;0,290265823;0,1086192;-0,419468355;1;;;;;;;;;;;;;
167;0,622254913;0,183062037;0,244509825;1;;;;;;;;;;;;;
168;0,39735172;0,16073917;-0,205296559;1;;;;;;;;;;;;;
169;0,394485117;0,134164727;-0,211029765;1;;;;;;;;;;;;;
170;0,447792814;0,132994203;-0,104414373;1;;;;;;;;;;;;;
171;0,327961819;0,106261121;-0,344076361;1;;;;;;;;;;;;;
172;0,683229003;0,208017036;0,366458006;1;;;;;;;;;;;;;
173;0,590950082;0,194604601;0,181900164;1;;;;;;;;;;;;;
174;0,245499228;0,098685274;-0,509001544;0;;;;;;;;;;;;;
175;0,421906891;0,118859776;-0,156186217;1;;;;;;;;;;;;;
176;0,727239749;0,213236837;0,454479499;1;;;;;;;;;;;;;
177;0,607142185;0,236334871;0,21428437;1;;;;;;;;;;;;;
178;0,994633522;0,330440059;0,989267043;1;;;;;;;;;;;;;
179;0,486456195;0,145911194;-0,027087609;1;;;;;;;;;;;;;
180;0,24320642;0,100980252;-0,513587161;0;;;;;;;;;;;;;
181;0,422561656;0,129735708;-0,154876689;1;;;;;;;;;;;;;
182;0,607886806;0,179925456;0,215773611;1;;;;;;;;;;;;;
183;0,549305215;0,205711325;0,098610431;1;;;;;;;;;;;;;
184;0,545306552;0,171403175;0,090613104;1;;;;;;;;;;;;;
185;0,370078236;0,123563668;-0,259843529;1;;;;;;;;;;;;;
186;0,589891457;0,207752996;0,179782914;1;;;;;;;;;;;;;
187;0,397462573;0,123926104;-0,205074854;1;;;;;;;;;;;;;
188;0,584344587;0,174085193;0,168689174;1;;;;;;;;;;;;;
189;0,500480819;0,146756976;0,000961638;1;;;;;;;;;;;;;
190;0,647268067;0,205488492;0,294536134;1;;;;;;;;;;;;;
191;0,469581255;0,149456244;-0,06083749;1;;;;;;;;;;;;;
192;0,428301445;0,14729821;-0,143397109;1;;;;;;;;;;;;;
193;0,232569043;0,090903895;-0,534861913;0;;;;;;;;;;;;;
194;0,242591588;0,081666061;-0,514816824;0;;;;;;;;;;;;;
195;0,827248101;0,266005871;0,654496202;1;;;;;;;;;;;;;
196;0,506599832;0,167385453;0,013199665;1;;;;;;;;;;;;;
197;0,281822239;0,116362168;-0,436355523;1;;;;;;;;;;;;;
198;0,311672243;0,106158448;-0,376655515;1;;;;;;;;;;;;;
199;0,676492815;0,216148384;0,352985629;1;;;;;;;;;;;;;
200;0,374253855;0,1207517;-0,25149229;1;;;;;;;;;;;;;
201;0,682102509;0,208771611;0,364205018;1;;;;;;;;;;;;;
202;0,365103997;0,130789387;-0,269792005;1;;;;;;;;;;;;;
203;0,349181744;0,139301938;-0,301636513;1;;;;;;;;;;;;;
204;0,494676463;0,175899118;-0,010647073;1;;;;;;;;;;;;;
205;0,695604555;0,213091825;0,391209109;1;;;;;;;;;;;;;
206;0,775842975;0,265766706;0,55168595;1;;;;;;;;;;;;;
207;0,388743131;0,123367122;-0,222513737;1;;;;;;;;;;;;;
208;0,472188911;0,141069894;-0,055622178;1;;;;;;;;;;;;;
209;0,501304773;0,161119473;0,002609547;1;;;;;;;;;;;;;
210;0,587665272;0,186455059;0,175330545;1;;;;;;;;;;;;;
211;0,712612371;0,200407931;0,425224743;1;;;;;;;;;;;;;
212;0,460509748;0,151821302;-0,078980505;1;;;;;;;;;;;;;
213;0,47610169;0,171796549;-0,047796619;1;;;;;;;;;;;;;
214;0,597582562;0,176320369;0,195165123;1;;;;;;;;;;;;;
215;0,44039305;0,134547278;-0,1192139;1;;;;;;;;;;;;;
216;0,522098695;0,171905856;0,044197389;1;;;;;;;;;;;;;
217;0,752312027;0,209862952;0,504624054;1;;;;;;;;;;;;;
218;0,422023217;0,136451663;-0,155953566;1;;;;;;;;;;;;;
219;0,382963503;0,157096068;-0,234072993;1;;;;;;;;;;;;;
220;0,73074532;0,276275346;0,461490639;1;;;;;;;;;;;;;
221;0,261599999;0,103255766;-0,476800002;0;;;;;;;;;;;;;
222;0,321841498;0,106457649;-0,356317004;1;;;;;;;;;;;;;
223;0,280921385;0,114733675;-0,438157229;1;;;;;;;;;;;;;
224;0,437468035;0,151533048;-0,12506393;1;;;;;;;;;;;;;
225;0,607389936;0,196877712;0,214779873;1;;;;;;;;;;;;;
226;0,31018429;0,110628342;-0,37963142;1;;;;;;;;;;;;;
227;0,660258644;0,199674225;0,320517288;1;;;;;;;;;;;;;
