;mean;se;bias;cp;mean;se;bias;cp;mean;se;bias;cp
143;-1,101269225;0,307906327;0,101269225;1;-0,66120875;0,323115997;0,3224175;1;-0,213447344;0,491154436;0,067236719;1
144;-0,90275736;0,361986483;-0,09724264;1;-0,274850566;0,33355183;-0,450298869;1;-0,148927203;0,554179964;-0,255363985;1
145;-1,086207542;0,254051881;0,086207542;1;-0,397457889;0,254357629;-0,205084222;1;0,118469622;0,3892421;-1,592348108;1
146;-0,979371451;0,323904662;-0,020628549;1;-0,495164527;0,319640599;-0,009670946;1;-0,632161631;0,563360086;2,160808157;1
147;-1,444348861;0,392428184;0,444348861;1;-0,445526866;0,35463674;-0,108946267;1;0,195411702;0,58547838;-1,977058511;1
148;-1,097491036;0,296336005;0,097491036;1;-0,501852107;0,28549397;0,003704213;1;0,040126422;0,459513419;-1,200632109;1
149;-0,529604968;0,336880702;-0,470395032;1;-0,386655427;0,321347733;-0,226689146;1;-1,087116105;0,599356762;4,435580526;1
150;-0,963372285;0,409502276;-0,036627715;1;-0,783482789;0,389025655;0,566965578;1;0,0626742;0,65490918;-1,313371;1
151;-1,376954348;0,315452718;0,376954348;1;-0,235233443;0,295488743;-0,529533113;1;0,212908632;0,476273635;-2,064543162;1
152;-1,193657554;0,36666877;0,193657554;1;-0,349358596;0,302930159;-0,301282809;1;-0,133868616;0,601666023;-0,330656922;1
153;-1,206596185;0,381714784;0,206596185;1;-0,811262381;0,350419919;0,622524763;1;0,140978545;0,571748681;-1,704892725;1
154;-0,330128606;0,276376518;-0,669871394;0;-0,79873403;0,273304338;0,597468059;1;-1,21967259;0,494290698;5,098362949;0
155;-0,938559269;0,371796963;-0,061440731;1;-0,466273383;0,337026025;-0,067453234;1;0,001490587;0,600867835;-1,007452934;1
156;-0,843373628;0,403480193;-0,156626372;1;-0,695695222;0,351922479;0,391390444;1;-0,506088868;0,632362958;1,530444342;1
157;-0,749941011;0,247155183;-0,250058989;1;-0,615392934;0,25463083;0,230785868;1;-0,465535184;0,401694239;1,327675918;1
158;-0,845961871;0,300899322;-0,154038129;1;-0,600531609;0,312155152;0,201063218;1;-0,34718531;0,540726443;0,735926549;1
159;-1,416030198;0,317289949;0,416030198;1;-0,13010365;0,295428042;-0,739792699;1;0,382413252;0,503031842;-2,91206626;1
160;-1,190644162;0,339980115;0,190644162;1;-0,268951043;0,292926869;-0,462097914;1;-0,490189927;0,539746845;1,450949637;1
161;-1,07298369;0,256798494;0,07298369;1;-1,1105141;0,286184565;1,2210282;0;0,694840351;0,416962842;-4,474201757;0
162;-0,555932909;0,309138924;-0,444067091;1;-0,491205117;0,311461159;-0,017589765;1;-0,822681386;0,519729022;3,113406928;1
163;-0,54022924;0,208404487;-0,45977076;0;-0,78984745;0,267052644;0,5796949;1;-0,822847201;0,417182561;3,114236003;1
164;-1,102909528;0,393038749;0,102909528;1;-0,511953498;0,339658457;0,023906996;1;-0,001409154;0,541358421;-0,992954229;1
165;-0,215810665;0,363033296;-0,784189335;0;-0,479458656;0,322848136;-0,041082688;1;-1,396601211;0,582769866;5,983006056;0
166;-0,672624795;0,27433457;-0,327375205;1;-0,597470548;0,256738114;0,194941096;1;-0,724199583;0,433727909;2,620997914;1
167;-0,726996901;0,266789569;-0,273003099;1;-0,444240125;0,277958326;-0,11151975;1;-0,625282418;0,480004311;2,126412091;1
168;-1,676085598;0,407943124;0,676085598;1;-0,314167624;0,353514103;-0,371664751;1;0,429673345;0,620350999;-3,148366724;1
169;-0,98729196;0,308446314;-0,01270804;1;-0,338024432;0,284746622;-0,323951135;1;-0,081764149;0,469758384;-0,591179257;1
170;-1,4043775;0,325087237;0,4043775;1;-0,246969632;0,27690874;-0,506060736;1;0,195026247;0,491354473;-1,975131237;1
171;-1,085567251;0,307174725;0,085567251;1;-0,510181955;0,277434917;0,02036391;1;-0,170900614;0,453947667;-0,145496929;1
172;-1,457769951;0,461984382;0,457769951;1;-0,048802746;0,371279219;-0,902394509;1;0,223081011;0,660666531;-2,115405056;1
173;-1,372597525;0,400394395;0,372597525;1;-0,697475331;0,367874048;0,394950663;1;0,27412742;0,618474917;-2,3706371;1
174;-1,143541045;0,366313725;0,143541045;1;-0,627831514;0,350676645;0,255663029;1;-0,334548487;0,585569772;0,672742437;1
175;-1,077590169;0,291628862;0,077590169;1;-0,35340604;0,256950533;-0,293187919;1;-0,073807588;0,462445408;-0,630962062;1
176;-0,94873099;0,29150185;-0,05126901;1;-0,293259132;0,273579343;-0,413481736;1;0,077796531;0,474918066;-1,388982655;1
177;-1,086393317;0,41673996;0,086393317;1;-0,339695949;0,358285837;-0,320608103;1;-0,081383385;0,607151914;-0,593083077;1
178;-0,441366674;0,309116223;-0,558633326;1;-0,878883326;0,383909604;0,757766652;1;-0,968896036;0,592017603;3,844480179;1
179;-1,012008681;0,308404809;0,012008681;1;-0,765215794;0,310788613;0,530431588;1;-0,257193757;0,523565331;0,285968787;1
180;-1,070707224;0,348165864;0,070707224;1;-0,649207226;0,345503125;0,298414453;1;-0,741623723;0,587252561;2,708118613;1
181;-0,629823697;0,23086059;-0,370176303;1;-0,264366721;0,236979767;-0,471266558;1;-0,892767873;0,408149043;3,463839365;1
182;-0,931215269;0,292588159;-0,068784731;1;-0,501216556;0,29164542;0,002433112;1;-0,261817681;0,521489588;0,309088404;1
183;-1,057856435;0,409149389;0,057856435;1;0,059415451;0,324442836;-1,118830901;1;-0,179468024;0,548263563;-0,10265988;1
184;-0,789493762;0,319309626;-0,210506238;1;-0,497398461;0,323478841;-0,005203077;1;-0,734293077;0,538171074;2,671465385;1
185;-1,027059862;0,258278752;0,027059862;1;-0,879844687;0,297583122;0,759689374;1;-0,202341047;0,466858535;0,011705235;1
186;-0,983581669;0,416458067;-0,016418331;1;0,162242769;0,361628818;-1,324485538;1;-0,972471481;0,611235128;3,862357405;1
187;-1,345705149;0,314809378;0,345705149;1;0,032738484;0,268010884;-1,065476968;0;0,104333833;0,464808877;-1,521669166;1
188;-0,778916788;0,274056631;-0,221083212;1;-0,393028113;0,266304377;-0,213943774;1;-0,261185425;0,434619155;0,305927126;1
189;-1,214284117;0,303781989;0,214284117;1;-0,882492672;0,293810772;0,764985345;1;0,523912251;0,479075003;-3,619561253;1
190;-1,125638796;0,318136123;0,125638796;1;-0,260178616;0,293866373;-0,479642769;1;0,138152688;0,461071082;-1,690763438;1
191;-1,153637082;0,318612763;0,153637082;1;-0,157710759;0,291247108;-0,684578483;1;-0,333282198;0,507040875;0,666410992;1
192;-0,858076012;0,314416668;-0,141923988;1;-0,359915197;0,285221837;-0,280169607;1;-0,368189656;0,494349923;0,840948278;1
193;-1,079033218;0,316850549;0,079033218;1;-1,131717003;0,333560519;1,263434005;1;-0,07637173;0,509506407;-0,618141352;1
194;-1,048259832;0,242514778;0,048259832;1;-0,348700427;0,234775899;-0,302599146;1;-0,080460502;0,362874388;-0,597697491;1
195;-0,89255243;0,36267905;-0,10744757;1;-0,271982914;0,318916851;-0,456034172;1;-0,350712576;0,556120101;0,753562878;1
196;-0,96543772;0,29014655;-0,03456228;1;-0,583903927;0,321900603;0,167807854;1;-0,160284539;0,49023153;-0,198577304;1
197;-1,077495171;0,337653932;0,077495171;1;-0,549850822;0,306330452;0,099701644;1;-0,128013736;0,545057777;-0,35993132;1
198;-1,285024744;0,280725841;0,285024744;1;-0,179137195;0,273898237;-0,64172561;1;-0,178404067;0,471480202;-0,107979664;1
199;-0,707593349;0,302242368;-0,292406651;1;-0,13844248;0,25544561;-0,723115039;1;-0,292071247;0,479511661;0,460356235;1
200;-0,887172009;0,299009494;-0,112827991;1;-0,376951599;0,269373696;-0,246096803;1;-0,465255256;0,473739522;1,326276279;1
201;-0,788356382;0,341331883;-0,211643618;1;-1,359935751;0,358218725;1,719871501;0;0,14342252;0,526200955;-1,7171126;1
202;-1,176484483;0,292287592;0,176484483;1;-0,223417189;0,256244392;-0,553165622;1;0,195047187;0,44400673;-1,975235934;1
